Track name,Artist name,Album,Playlist name,Type,ISRC,Tidal - id
"Impending Doom","Nervosa","Slave Machine","Favorites tracks","Favorite","ATN262637502","482726868"
"Waterscene","Cancer House","The Moth","Favorites tracks","Favorite","QM4TX2660866","501428696"
"Somewhere, Sometime","Drudkh","Thaw","Favorites tracks","Favorite","FR33T2516102","492027604"
"IRON VEINS","KAVARI","IRON VEINS","Favorites tracks","Favorite","GBBKS2500570","484624504"
"I'd Rather Be Tending My Sheep","One Leg One Eye","...And Take The Black Worm With Me","Favorites tracks","Favorite","USCGJ2445508","347740157"
"Glistening, She Emerges","One Leg One Eye","...And Take The Black Worm With Me","Favorites tracks","Favorite","USCGJ2445506","347740155"
"Where Would We Be","Amanda Whiting","Where Would We Be","Favorites tracks","Favorite","GBCTF1001373","223480961"
"Very Bad News","April + VISTA","Traditional Noise (Atmos)","Favorites tracks","Favorite","QM6N22676159","516044664"
"Flying Whales","Gojira","From Mars to Sirius","Favorites tracks","Favorite","FR6V80520037","13929186"
"Demons Gate","Candlemass","Epicus Doomicus Metallicus","Favorites tracks","Favorite","GBCQV0700945","68660556"
"Deadly Species","Alif Tree","French Cuisine","Favorites tracks","Favorite","DEM090500189","199468625"
"Voices Near The Hypocentre","Lanark Artefax","Whities 011","Favorites tracks","Favorite","UK7MC1700061","74837354"
"Stop Machine","Snorkel","Stop Machine","Favorites tracks","Favorite","GBGNZ1100112","58389103"
"Everybody Daylight","Brightblack Morning Light","Brightblack Morning Light","Favorites tracks","Favorite","USMTD0667101","2275591"
"La Ronda y el sonidero","Debit","Desaceleradas","Favorites tracks","Favorite","UK8262501497","456989896"
"In Search Of M-Theory","Vinnum Sabbathi","Of Dimensions and Theories","Favorites tracks","Favorite","GBMA22052351","136333937"
"Marked for Death","Emma Ruth Rundle","Marked for Death","Favorites tracks","Favorite","QMLD61402153","430146076"
"Flea","Agriculture","The Spiritual Sound","Favorites tracks","Favorite","USA2Z2500534","443831344"
"Nebuchadnezzar II","Wyatt E.","Exile to Beyn Neharot","Favorites tracks","Favorite","BEC631700071","82503799"
"Il Sole sorge sempre","Uncle Acid & The Deadbeats","Nell' ora blu","Favorites tracks","Favorite","GBMLU2425601","353483121"
"Gust Front (The Waiting)","Daniel Bachman","Almanac Behind","Favorites tracks","Favorite","USA2B2203419","381134623"
"Bad Touch Example","Company Flow","Funcrusher Plus","Favorites tracks","Favorite","QZNW72332715","279660162"
"Image of Control (II)","Sumac","What One Becomes","Favorites tracks","Favorite","USTJ21641707","279509791"
"Dixie Whiskey (remastered 2007)","Eyehategod","Dopesick (remastered Re-issue + Bonus)","Favorites tracks","Favorite","US4E40626204","51972003"
"Song for JW","The Holy Mountain Orchestra","Song for JW","Favorites tracks","Favorite","US58L2597501","461596676"
"Grafschrift","De Mannen Broeders","Grafschrift","Favorites tracks","Favorite","US2642456405","370529063"
"The Choir Of The Dead","Blut Aus Nord","The Work Which Transforms God","Favorites tracks","Favorite","GBADD0409402","232734661"
"Bad Year","Iron Monkey","Our Problem","Favorites tracks","Favorite","GBBPB0400625","346869389"
"Katabasis","Persefone","metanoia","Favorites tracks","Favorite","ATN262211102","201729548"
"Flipping Poles","Connan Mockasin","Flipping Poles","Favorites tracks","Favorite","QMV8L1928803","396068250"
"Roof","Wiki","Half God","Favorites tracks","Favorite","GB5P52100236","199019228"
"Tziidall Raszhisst","Koenjihyakkei","Angherr Shisspa Revisited","Favorites tracks","Favorite","USA2B1902238","113491786"
"Antechamber","Latitudes","Agonist","Favorites tracks","Favorite","GBTEG0900119","84010089"
"Skydiving onto the library roof","caroline","caroline","Favorites tracks","Favorite","GBCVZ2100005","215216799"
"Ausblutungsschlacht","Kanonenfieber","Die Urkatastrophe","Favorites tracks","Favorite","GBDHC2449011","366301049"
"Life on the Other Side Pt. 2","New Age Doom","Angels Against Angels","Favorites tracks","Favorite","CA0WS2622002","478183653"
"Mandelbrot Anamnesis","Intensive Care","Was I Good Enough?","Favorites tracks","Favorite","QMFMF2464022","408488783"
"To Walk a Higher Path","The Body","Orchards of a Futile Heaven","Favorites tracks","Favorite","USTJ22457002","311250792"
"Room 429","Cop Shoot Cop","Ask Questions Later","Favorites tracks","Favorite","QMFMG1428835","31565825"
"Don Caballero 3","Don Caballero","What Burns Never Returns","Favorites tracks","Favorite","USTG39818501","61686258"
"Nosferatu Man","Slint","Spiderland","Favorites tracks","Favorite","USTG39106402","61685323"
"Stratocumulus Evergaol","Cryptic Shift","Overspace & Supertime","Favorites tracks","Favorite","USMBR2516916","475091259"
"Hiathaikm","Valentin Stip","Don't Break My Love","Favorites tracks","Favorite","FR6V81433994","450686091"
"Insistor","Tapes 'n Tapes","The Loon","Favorites tracks","Favorite","USTC10607228","98336334"
"Bryn Spirit","Content Provider","Pornographic-Time, Vol. IIl: The Horizonless Interface","Favorites tracks","Favorite","NL3U12600012","487108052"
"Night Witch","Wolf People","Ruins","Favorites tracks","Favorite","US38Y1627903","65975052"
"The Man Who Loves to Hurt Himself","TODAY IS THE DAY","Temple of the Morning Star","Favorites tracks","Favorite","QMBZ92197011","190283160"
"Al Sayf السيف","Yalla Miku","2","Favorites tracks","Favorite","CHA830001901","458407187"
"Out of the Void","Plini","Out of the Void","Favorites tracks","Favorite","AUMEV2463899","362665309"
"Sabotage","Beastie Boys","Ill Communication","Favorites tracks","Favorite","USCA29400020","158531"
"Far Closes","Craven Faults","Sidings","Favorites tracks","Favorite","GBCKB2514308","466681598"
"Impatience, Magma","Caterina Barbieri","At Source","Favorites tracks","Favorite","DEG932505071","462444577"
"A Strange Day","The Cure","Pornography","Favorites tracks","Favorite","GBALB0080023","1198398"
"Smooth Operator (Martin L. Gore Remix)","Señor Coconut","Música Moderna, Vol. I (Remixes and Rare Tracks)","Favorites tracks","Favorite","DEXO11947923","105852495"
"Mester Stoor Worm","Hellripper","Warlocks Grim & Withered Hags","Favorites tracks","Favorite","GBCQV2200228","260749580"
"Strange Heavens","Linda May Han Oh","Strange Heavens","Favorites tracks","Favorite","QZLDD2500011","440432453"
"Synthetic Piss","Artisans","synthetic piss","Favorites tracks","Favorite","LTA142400017","400105882"
"Malfeitor","Watain","Lawless Darkness","Favorites tracks","Favorite","FR33T1020302","36807959"
"Darwish Records","Yoni Mayraz","Dogs Bark Babies Cry","Favorites tracks","Favorite","QM6P42503360","430941355"
"Super Glyde","Glyders","Forever","Favorites tracks","Favorite","US58L2596601","451670038"
"Beyond The Great Vast Forest","Emperor","In The Nightside Eclipse","Favorites tracks","Favorite","GBADD0403004","276244832"
"Mr. Peanut","Otto Benson","Peanut","Favorites tracks","Favorite","QT6FJ2548741","480282387"
"Norf Side (feat. Tierra Whack)","Jill Scott","To Whom This May Concern","Favorites tracks","Favorite","US6R22508793","498227690"
